ORGANIZATION_ID,REPORT_ID,REPORT_UNIT_ID,REPORTING_UNIT_NAME,REPORTING_UNIT_TYPE,STATE,COUNTY_FIPS,HUC
AKDNR,2016,19020104,Lower Copper River,HUC8,55,,19020104
AKDNR,2016,19020701,Kodiak-Afognak Islands,HUC9,55,,19020701
AKDNR,2016,19020202,Western Prince William Sound,HUC10,55,,19020202
AKDNR,2016,19060501,Canning River,HUC11,55,,19060501
AKDNR,2016,19020401,Anchorage,HUC12,55,,19020401
AKDNR,2016,19060403,Mikkelson Bay,HUC13,55,,19060403
AKDNR,2016,19020302,Upper Kenai Peninsula,HUC14,55,,19020302
AKDNR,2016,19060102,Kokolik River,HUC15,55,,19060102
AKDNR,2016,19060402,Sagavanirktok River,HUC16,55,,19060402
AKDNR,2016,19060401,Kuparuk River,HUC17,55,,19060401
AKDNR,2017,19020302,Upper Kenai Peninsula,HUC18,55,,19020302
AKDNR,2017,19020701,Kodiak-Afognak Islands,HUC19,55,,19020701
AKDNR,2017,19020202,Western Prince William Sound,HUC20,55,,19020202
AKDNR,2017,19020505,Lower Susitna River,HUC21,55,,19020505
AKDNR,2017,19060501,Canning River,HUC22,55,,19060501
AKDNR,2017,19020401,Anchorage,HUC23,55,,19020401
AKDNR,2017,19060403,Mikkelson Bay,HUC24,55,,19060403
AKDNR,2017,19060402,Sagavanirktok River,HUC25,55,,19060402
AKDNR,2017,19060401,Kuparuk River,HUC26,55,,19060401
AKDNR,2018,19060501,Canning River,HUC27,55,,19060501
